what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1474961299675
started,bundle,org.eclipse.uml2.uml.edit,3.1.100.v201009281840,"org.eclipse.uml2.uml.edit",1474961299707
started,bundle,org.eclipse.uml2.common.edit,1.5.0.v201005031530,"org.eclipse.uml2.common.edit",1474961301084
started,bundle,com.soyatec.additional,3.7.1.20110624,"com.soyatec.additional",1474961301186
started,bundle,org.eclipse.emf.ecore.change,2.7.1.v20120127-1122,"org.eclipse.emf.ecore.change",1474961301264
started,bundle,org.eclipse.uml2.common,1.6.0.v201105021727,"org.eclipse.uml2.common",1474961301280
started,bundle,com.soyatec.model,3.7.1.20110624,"com.soyatec.model",1474961324029
opened,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474961324110
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1474961324250
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474961324386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1474961324593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961324816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961325494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961327896
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1474961340587
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474961349691
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1474961349978
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1474961350069
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474961350104
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1474961350224
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474961370804
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474961374966
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474961444751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961449491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961551911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961559348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961573149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961580234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961588113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961590167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961596820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961654714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961662725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961677466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961700473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961720367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474961722568
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474961726316
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474961726500
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474961732496
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474961732500
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474961736851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1474961750772
